structureId,classification,residueCount
117E,HYDROLASE,572
11BA,HYDROLASE,248
11BG,HYDROLASE,248
11GS,TRANSFERASE,420
14GS,TRANSFERASE,420
16GS,TRANSFERASE,420
177L,HYDROLASE,164
178L,HYDROLASE,164
17GS,TRANSFERASE,420
18GS,TRANSFERASE,420
19GS,TRANSFERASE,418
1A05,OXIDOREDUCTASE,716
1A0F,TRANSFERASE,402
1A0G,TRANSFERASE,564
1A17,HYDROLASE,166
1A1Q,HYDROLASE,567
1A23,OXIDOREDUCTASE,189
1A24,OXIDOREDUCTASE,189
1A26,TRANSFERASE,361
1A2F,OXIDOREDUCTASE,291
1A2G,OXIDOREDUCTASE,291
1A2J,OXIDOREDUCTASE,189
1A2L,OXIDOREDUCTASE,378
1A2M,OXIDOREDUCTASE,378
1A2N,TRANSFERASE,419
1A2Q,HYDROLASE,275
1A39,HYDROLASE,402
1A3H,HYDROLASE,300
1A3W,TRANSFERASE,1000
1A3X,TRANSFERASE,1000
1A42,LYASE,259
1A49,TRANSFERASE,4240
1A4E,OXIDOREDUCTASE,1952
1A4G,HYDROLASE,780
1A4I,OXIDOREDUCTASE,602
1A4L,HYDROLASE,1396
1A4M,HYDROLASE,1396
1A4Q,HYDROLASE,780
1A4R,HYDROLASE,382
1A4S,OXIDOREDUCTASE,2012
1A4U,OXIDOREDUCTASE,508
1A4Z,OXIDOREDUCTASE,1996
1A50,LYASE,664
1A5A,LYASE,665
1A5B,LYASE,665
1A5C,LYASE,736
1A5H,HYDROLASE,518
1A5K,HYDROLASE,767
1A5L,HYDROLASE,767
1A5M,HYDROLASE,767
1A5N,HYDROLASE,767
1A5O,HYDROLASE,767
1A5P,HYDROLASE,124
1A5Q,HYDROLASE,124
1A5U,TRANSFERASE,4240
1A5V,HYDROLASE,158
1A5W,HYDROLASE,158
1A5X,HYDROLASE,158
1A5Y,HYDROLASE,330
1A5Z,OXIDOREDUCTASE,319
1A65,OXIDOREDUCTASE,504
1A6Q,HYDROLASE,382
1A6R,HYDROLASE,471
1A6V,IMMUNE SYSTEM,690
1A71,OXIDOREDUCTASE,748
1A72,OXIDOREDUCTASE,374
1A7A,HYDROLASE,864
1A7J,TRANSFERASE,290
1A7K,OXIDOREDUCTASE,1440
1A7T,HYDROLASE,464
1A80,OXIDOREDUCTASE,277
1A8L,OXIDOREDUCTASE,226
1A8P,OXIDOREDUCTASE,258
1A8R,HYDROLASE,3315
1A8T,HYDROLASE,464
1A9C,HYDROLASE,3315
1A9T,TRANSFERASE,284
1A9U,TRANSFERASE,379
1AA1,OXIDOREDUCTASE,2392
1AA4,OXIDOREDUCTASE,294
1AA6,OXIDOREDUCTASE,715
1AAX,HYDROLASE,321
1AB8,LYASE,440
1ABN,OXIDOREDUCTASE,315
1AC0,HYDROLASE,108
1AC4,OXIDOREDUCTASE,294
1AC8,OXIDOREDUCTASE,294
1AD1,TRANSFERASE,532
1AD3,OXIDOREDUCTASE,904
1AD4,TRANSFERASE,532
1ADO,LYASE,1452
1ADS,OXIDOREDUCTASE,315
1ADZ,HYDROLASE,71
1AE1,OXIDOREDUCTASE,546
1AE4,OXIDOREDUCTASE,325
1AE7,HYDROLASE,119
1AEB,OXIDOREDUCTASE,294
1AEC,HYDROLASE,218
1AED,OXIDOREDUCTASE,294
1AEE,OXIDOREDUCTASE,294
1AEF,OXIDOREDUCTASE,294
1AEG,OXIDOREDUCTASE,294
1AEH,OXIDOREDUCTASE,294
1AEJ,OXIDOREDUCTASE,294
1AEK,OXIDOREDUCTASE,294
1AEM,OXIDOREDUCTASE,294
1AEN,OXIDOREDUCTASE,294
1AEO,OXIDOREDUCTASE,294
1AEQ,OXIDOREDUCTASE,294
1AES,OXIDOREDUCTASE,294
1AET,OXIDOREDUCTASE,294
1AEU,OXIDOREDUCTASE,294
1AEV,OXIDOREDUCTASE,294
1AFK,HYDROLASE,248
1AFL,HYDROLASE,248
1AFR,OXIDOREDUCTASE,2070
1AFS,OXIDOREDUCTASE,646
1AFU,HYDROLASE,248
1AG8,OXIDOREDUCTASE,1996
1AGJ,HYDROLASE,484
1AGM,HYDROLASE,470
1AGN,OXIDOREDUCTASE,1492
1AH0,OXIDOREDUCTASE,316
1AH3,OXIDOREDUCTASE,315
1AH4,OXIDOREDUCTASE,315
1AH5,TRANSFERASE,313
1AH7,HYDROLASE,245
1AHH,OXIDOREDUCTASE,510
1AHI,OXIDOREDUCTASE,510
1AHJ,LYASE,1676
1AI2,OXIDOREDUCTASE,416
1AI3,OXIDOREDUCTASE,416
1AI9,OXIDOREDUCTASE,384
1AID,HYDROLASE,198
1AIQ,TRANSFERASE,528
1AJ8,LYASE,742
1AJK,HYDROLASE,428
1AJO,HYDROLASE,428
1AK5,OXIDOREDUCTASE,503
1AKD,OXIDOREDUCTASE,414
1AKI,HYDROLASE,129
1AKM,TRANSFERASE,999
1AKN,HYDROLASE,579
1AL6,LYASE,437
1ALG,OXIDOREDUCTASE,24
1ALN,HYDROLASE,294
1ALQ,HYDROLASE,266
1AM6,HYDROLASE,259
1AMH,HYDROLASE,446
1AMO,OXIDOREDUCTASE,1230
1AN9,OXIDOREDUCTASE,680
1AO8,OXIDOREDUCTASE,162
1AOD,HYDROLASE,289
1AOE,OXIDOREDUCTASE,384
